companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
Crédit Agricole Technologies et Services,Full-time,Entry level,Champagne-au-Mont-d’Or,41500.0,IT Services and IT Consulting,Data Analyst,,24,9,2024
Sony Music Entertainment,Full-time,Mid-Senior level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL', 'Redshift', 'Snowflake', 'Python', 'APIs', 'web scraping', 'Power BI']",17,9,2024
A2 Consulting,Full-time,Entry level,Île-de-France,41500.0,Business Consulting and Services,Data Analyst,['Qlik Sense'],23,9,2024
Deezer,Internship,Internship,Paris,41500.0,Musicians,Data Analyst,,5,9,2024
Boston Consulting Group (BCG),Internship,Internship,Paris,41500.0,Business Consulting and Services,Data Analyst,"['Python', 'SQL', 'PPT']",10,10,2024
CGI,Full-time,Associate,Niort,41500.0,IT Services and IT Consulting,Data Analyst,"['Python', 'R', 'SAS', 'SQL']",7,10,2024
PROXIAD,Full-time,Associate,Nantes,41500.0,IT Services and IT Consulting,Data Analyst,['PowerBI'],16,9,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL', 'Python', 'R', 'Tableau', 'Power BI']",4,10,2024
CGI,Full-time,Associate,Bordeaux,41500.0,IT Services and IT Consulting,Data Analyst,"['Tableau', 'Power BI', 'Talend', 'Datastage', 'Informatica', 'SAP BO', 'Qlik Sense', 'Qlik View']",4,10,2024
Lincoln France,Full-time,Not Applicable,Hauts-de-France,41500.0,IT Services and IT Consulting,Data Analyst,"['SQL', 'Python', 'R', 'Tableau', 'Power BI', 'Looker', 'Qlik']",9,10,2024
NORGAY,Full-time,Associate,Bordeaux,41500.0,IT Services and IT Consulting and Banking,Data Analyst,"['Power BI', 'Alteryx', 'Python', 'Oracle', 'GCP']",24,9,2024
Foxintelligence,Full-time,Internship,Paris,41500.0,Non-profit Organizations and Primary and Secondary Education,Data Analyst,,21,4,2024
Volvo Group,Full-time,Not Applicable,Vénissieux,41500.0,Motor Vehicle Manufacturing,Data Analyst,['Azure'],3,10,2024
Moët Hennessy,Temporary,Internship,Paris,41500.0,Beverage Manufacturing,Data Analyst,"['Python', 'SQL', 'VBA', 'Power Automate']",6,10,2024
Akkodis,Full-time,Mid-Senior level,Lyon,41500.0,IT Services and IT Consulting,Data Analyst,"['SQL', 'Python', 'Databricks', 'Tableau', 'Power BI']",10,10,2024
Urgo Medical,Full-time,Not Applicable,Paris,41500.0,Medical Equipment Manufacturing and Pharmaceutical Manufacturing,Data Analyst,,24,9,2024
Acolad group,Full-time,Entry level,Boulogne-Billancourt,41500.0,Non-profit Organizations and Primary and Secondary Education,Data Analyst,"['Tableau', 'SQL', 'Python']",11,8,2024
Beelix,Full-time,Associate,Lille,41500.0,IT Services and IT Consulting,Data Analyst,"['SQL', 'Python', 'R', 'Tableau', 'Power BI']",8,10,2024
Kantar Media FR,Full-time,Associate,Courbevoie,41500.0,Marketing Services and Data Infrastructure and Analytics,Data Analyst,,20,9,2024
Groupe Pierre & Vacances - Center Parcs,Full-time,Mid-Senior level,Paris,41500.0,Real Estate,Data Analyst,"['Tableau', 'Dbt', 'Airflow', 'SQL', 'Gitlab', 'Dataiku']",4,10,2024
Unlimitail,Internship,Internship,Paris,41500.0,Online Audio and Video Media,Data Analyst,"['SQL', 'Python']",3,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,11,10,2024
Wewyse,Full-time,Associate,Paris,41500.0,IT Services and IT Consulting,Data Analyst,"['Notebooks', 'Data Analytics']",7,10,2024
Experis France,Full-time,Associate,Colombes,41500.0,"Information Technology & Services, IT Services and IT Consulting, and Telecommunications",Data Analyst,"['R', 'Python', 'SQL', 'Docker', 'GitLab', 'Confluence', 'Bash', 'Rshiny', 'Dash']",23,9,2024
IDEUZO,Full-time,Entry level,Nantes,41500.0,Advertising Services and Human Resources Services,Data Analyst,['Excel'],27,9,2024
Career Renew,Full-time,Entry level,France,41500.0,Non-profit Organizations and Primary and Secondary Education,Data Analyst,"['Dune', 'Python', 'SQL']",9,10,2024
TieTalent,Full-time,Entry level,Puteaux,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
TieTalent,Full-time,Entry level,Saint-Mandé,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
Novencia Group,Full-time,Associate,Paris,41500.0,Information Technology & Services,Data Analyst,"['Python', 'pandas', 'NumPy', 'scikit', 'learn', 'Tableau', 'Power BI']",9,10,2024
TieTalent,Full-time,Entry level,Agen,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
Talent Disruptors,Full-time,Entry level,Paris,41500.0,Staffing and Recruiting,Data Analyst,"['Google Data Studio', 'BigQuery', 'Power BI']",17,3,2024
TieTalent,Full-time,Entry level,Lille,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
Deezer,Internship,Internship,Paris,41500.0,Musicians,Data Analyst,,8,10,2024
Getaround,Full-time,Entry level,Paris,41500.0,"Software Development and Technology, Information and Internet",Data Analyst,,30,9,2024
Allianz France,Full-time,Associate,Paris,41500.0,Financial Services and Insurance,Data Analyst,"['SAS', 'VBA', 'Python']",4,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
Birlasoft,Full-time,Mid-Senior level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,"['SQL', 'MicroStrategy']",7,10,2024
TieTalent,Full-time,Entry level,Vesoul,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
ViaAduc,Full-time,Associate,Paris,41500.0,IT Services and IT Consulting and Business Consulting and Services,Data Analyst,['Power BI'],13,9,2024
Holis.co,Full-time,Associate,Paris,41500.0,Data Infrastructure and Analytics and IT System Data Services,Data Analyst,,7,10,2024
TieTalent,Full-time,Mid-Senior level,Colmar,41500.0,"Technology, Information and Internet",Data Analyst,"['Microsoft SQL Server', 'SSIS', 'SSRS', 'Power BI', 'SSAS', 'Confluence', 'Jira']",4,10,2024
Exotec,Full-time,Internship,Lille,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL', 'Python', 'Power BI', 'GCP', 'AWS', 'DBT', 'GIT']",28,8,2024
Keyrus Life Science,Full-time,Mid-Senior level,Île-de-France,41500.0,Pharmaceutical Manufacturing,Data Analyst,"['Veeva Vault', 'RIM', 'PowerBI', 'DAX', 'Power query', 'PowerBI Report Builder', 'Excel', 'VBA', 'DBT', 'SQL', 'GCP']",8,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
TieTalent,Full-time,Entry level,Villejuif,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
IA School,Internship,Internship,Lyon,41500.0,"Pharmaceutical Manufacturing, Retail Health and Personal Care Products, and Wholesale Drugs and Sundries",Data Analyst,"['Hadoop', 'Spark', 'Python', 'SQL']",30,9,2024
IA School,Internship,Internship,Lille,41500.0,"Wholesale Drugs and Sundries, Pharmaceutical Manufacturing, and Retail Pharmacies",Data Analyst,"['Hadoop', 'Spark', 'Python', 'SQL']",30,9,2024
L'Usine Nouvelle,Full-time,Entry level,Courbevoie,41500.0,Newspaper Publishing,Data Analyst,['None'],20,9,2024
LesJeudis,Temporary,Entry level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,,7,10,2024
Sia Partners,Full-time,Mid-Senior level,Paris,41500.0,Business Consulting and Services,Data Analyst,"['Power BI', 'Tableau', 'Dataiku']",18,9,2024
